地名,ちめい,緯度,経度,地方,
アフガニスタン,Afghanistan,33.49,65.1,,Asia/Kabul
アルバニア,Albania,41.49,20,,Europe/Tirane
アルジェリア,Algeria,29,1.19,,GMT+01:00
アメリカ領サモア,American Samoa,-14,-170,,Pacific/Pago_Pago
アンドラ,Andorra,42.3,1.3,,Europe/Andorra
アンゴラ,Angola,-11.4,17.3,,MET
南極,Antarctica,-80,80,,
アンティグア・バーブーダ,Antigua & Barbuda,18.3,-60,,America/St_Johns
アルゼンチン,Argentina,-35.4,-62,,America/Argentina/Ushuaia
アルメニア,Armenia,40.4,45,,NET
アルバ,Aruba,12.5,-69.5,,America/Aruba
オーストラリア,Australia,-26,136,,Australia/Adelaide
オーストリア,Austria,47.49,14.3,,MET
アゼルバイジャン,Azerbaijan,39.3,49,,Asia/Baku
バハマ,Bahamas,24.4,-77.1,,America/Nassau
バーレーン,Bahrain,26.1,50.4,,Asia/Bahrain
バングラデシュ,Bangladesh,24.49,90.3,,Asia/Dhaka
バルバドス,Barbados,12.3,-59.4,,America/Barbados
ベラルーシ,Belarus,54.1,28.4,,Europe/Minsk
ベルギー,Belgium,50.4,3.3,,MET
ベリーズ,Belize,17.29,-88.1,,America/Belize
ベナン,Benin,10.19,1.49,,GMT+01:00
バミューダ,Bermuda,32.3,-65,,Atlantic/Bermuda
ブータン,Bhutan,27.4,90,,Asia/Thimphu
ボリビア,Bolivia,-14.1,-65.1,,America/La_Paz
ボスニア・ヘルツェゴビナ,Bosnia & Herzegovina,44.3,18,,MET
ボツワナ,Botswana,-21.1,24.3,,Africa/Gaborone
ブラジル,Brazil,-10,-51.4,,America/Sao_Paulo
ブルネイ,Brunei,5.3,114.19,,Asia/Brunei
ブルガリア,Bulgaria,42.3,24.3,,EET
ブルキナファソ,Burkina Faso,13,-2.1,,Africa/Ouagadougou
ブルンジ,Burundi,-3.1,29.4,,Africa/Bujumbura
カンボジア,Cambodia,12.4,105,,GMT+07:00
カメルーン,Cameroon,5.19,12.1,,Africa/Douala
カナダ,Canada,57,-107,,America/Winnipeg
カナリア諸島,Canarias,29,-17,,GMT
カーボベルデ,Cape Verde,14.1,-22.3,,Atlantic/Cape_Verde
ケイマン諸島,CaymanIslands,19.3,-81,,
中央アフリカ,Central African Rep.,6.3,19.49,,
チャド,Chad,14,19.49,,Africa/Ndjamena
チリ,Chile,-34.3,-71.4,,America/Santiago
中国,China,37,107,,CTT
コロンビア,Colombia,3.4,-72.4,,America/Bogota
コモロ,Comoros,-12.3,43.49,,GMT+03:00
コスタリカ,Costa Rica,10,-84,,America/Costa_Rica
コートジボワール,Cote d'Ivoire,8.4,-5,,Africa/Abidjan
クロアチア,Croatia,45.19,15.3,,Europe/Zagreb
キューバ,Cuba,22.4,-78,,GMT-05:00
キプロス,Cyprus,34.3,32.1,,Europe/Nicosia
チェコ,Czecho,49.3,14.49,,MET
コンゴ民主共和国,Demo.Rep.of Congo,-2.4,20,,Africa/Lubumbashi
デンマーク,Denmark,56.3,10.3,,America/Thule
ジブチ,Djibouti,11.36,43.09,,Africa/Djibouti
ドミニカ,Dominica,16.19,-59.4,,America/Dominica
ドミニカ共和国,Dominican Republic,19.1,-70.4,,America/Santo_Domingo
エクアドル,Ecuador,-1.1,-80.4,,America/Guayaquil
エジプト,Egypt,28.1,30.1,,EET
エルサルバドル,El Salvador,13.3,-88.4,,America/El_Salvador
赤道ギニア,Equatorial Guinea,1.4,10,,Africa/Malabo
エリトリア,Eritrea,16.3,38,,Africa/Asmera
エストニア,Estonia,58.1,25,,Europe/Tallinn
エチオピア,Ethiopia,7.4,40.1,,Africa/Addis_Ababa
フォークランド諸島,Falkland Islands,-50.5,-58,,
フィジー,Fiji,-17,179.3,,Pacific/Fiji
フィンランド,Finland,63.3,26.3,,Europe/Helsinki
フランス,France,46.3,2,,Europe/Paris
フランス領ギアナ,French Guiana,4.3,-53,,America/Cayenne
フランス領ポリネシア,French Polynesia,-18.5,-150,,GMT-10:00
ガボン,Gabon,-0.4,11.1,,GMT-10:00
ガンビア,Gambia,13.19,-15.4,,Africa/Banjul
グルジア,Georgia,42.3,41.49,,Asia/Tbilisi
ドイツ,Germany,51.19,10.49,,MET
ガーナ,Ghana,7.3,-0.3,,Africa/Accra
ギリシャ,Greece,39.1,21.4,,Europe/Athens
グリーンランド,Greenland,75,-40,,
グレナダ,Grenada,12.49,-64.3,,America/Grenada
グアダルペ,Guadeloupe,16.07,-61.19,,America/Guadeloupe
グアム,Guam,13.15,144.5,,Pacific/Guam
グアテマラ,Guatemala,15,-91.4,,America/Guatemala
ギニア,Guinea,10.4,-12.1,,Africa/Conakry
ギニアビサウ,Guinea-Bissau,12,-15.4,,Africa/Bissau
ガイアナ,Guyana,5.49,-59.1,,America/Guyana
ハイチ,Haiti,17.49,-72.4,,GMT-05:00
ホンジュラス,Honduras,14.49,-86.1,,America/Tegucigalpa
ハンガリー,Hungary,46.49,18.4,,Europe/Budapest
アイスランド,Iceland,65.1,-18.1,,Atlantic/Reykjavik
インド,India,20,78.1,,IST
インドネシア,Indonesia,-3.1,124.3,,Asia/Jakarta
イラン,Iran,34.3,54,,Asia/Tehran
イラク,Iraq,34.49,44,,Asia/Baghdad
アイルランド,Ireland,53.3,-8.1,,Europe/Dublin
イスラエル,Israel,31.1,34.3,,IST
イタリア,Italy,43.3,12,,MET
ジャマイカ,Jamaica,17.1,-78.1,,America/Jamaica
日本,Japan,36,138,,JST
ヨルダン,Jordan,30.49,35.49,,Asia/Amman
カザフスタン,Kazakhstan,48.3,59.4,,Asia/Almaty
ケニア,Kenya,1.19,37,,Africa/Nairobi
キリバス,Kiribati,-1.1,178,,Pacific/Tarawa
韓国,Korea,37.1,128.3,,Asia/Seoul
クウェート,Kuwait,29.3,47.19,,Asia/Kuwait
キルギス,Kyrgyz,42.1,73,,Asia/Bishkek
ラオス,Laos,20.1,102.3,,Asia/Vientiane
ラトビア,Latvia,57.19,24.19,,Europe/Riga
レバノン,Lebanon,33.3,35.3,,GMT+02:00
レソト,Lesotho,-30,27.4,,Africa/Maseru
リベリア,Liberia,5.3,-8.3,,Africa/Monrovia
リビア,Libya,28.4,19.49,,Africa/Tripoli
リヒテンシュタイン,Liechtenstein,47,9.4,,Europe/Vaduz
リトアニア,Lithuania,56.1,22.3,,GMT+02:00
ルクセンブルク,Luxembourg,49.36,6.09,,Europe/Luxembourg
マカオ,Macau,22.12,113.34,,Asia/Macau
マケドニア,Macedonia,41.4,21.3,,Europe/Skopje
マダガスカル,Madagascar,-19.4,47.1,,Indian/Antananarivo
マラウイ,Malawi,-14.3,34.4,,Africa/Blantyre
マレーシア,Malaysia,4.3,107.1,,Asia/Kuala_Lumpur
モルジブ,Maldives,8.3,70,,Indian/Maldives
マリ,Mali,18.1,-1.1,,Africa/Bamako
マルタ,Malta,34.4,16.3,,Europe/Malta
マーシャル諸島,Marshall Islands,10.4,169.19,,Pacific/Majuro
マルティニク島,Martinique,14.37,-61.22,,America/Martinique
モーリタニア,Mauritania,20.1,-11.4,,Africa/Nouakchott
モーリシャス,Mauritius,-21.1,59.1,,Indian/Mauritius
メキシコ,Mexico,23.3,-102.4,,America/Monterrey
ミクロネシア,Micronesia,6.49,146,,GMT+11:00
モルドバ,Moldova,47.19,28.3,,Europe/Tiraspol
モナコ公国,Monaco,43.44,7.25,,Europe/Monaco
モンゴル,Mongolia,46.19,101.49,,Asia/Ulaanbaatar
モロッコ,Morocco,32,-8.1,,Africa/Casablanca
モザンビーク,Mozambique,-18,35.1,,Africa/Maputo
ミャンマー,Myanmar,21.1,96,,GMT+06:30
ナミビア,Namibia,-19,16.19,,Africa/Windhoek
ナウル,Nauru,-2.4,165.3,,Pacific/Nauru
ネパール,Nepal,28.19,84,,GMT+05:45
オランダ,Netherlands,53.1,5.3,,MET
オランダ領アンティル,NetherlandsAntilles,12.3,-69,,
ニューカレドニア,New Caledonia,-22,164,,Pacific/Noumea
ニュージーランド,New Zealand,-41.3,172.4,,Pacific/Auckland
ニカラグア,Nicaragua,13,-85.1,,America/Managua
ニジェール,Niger,15.3,10.1,,Africa/Niamey
ナイジェリア,Nigeria,9.3,6.19,,Africa/Lagos
北朝鮮,North Korea,41,127.3,,ROK
北極,North Pole,87,180,,
ノルウェー,Norway,62.49,10.1,,Europe/Oslo
オマーン,Oman,22,57.19,,Asia/Muscat
パキスタン,Pakistan,28,65,,Asia/Karachi
パラオ,Palau,7,135,,Pacific/Palau
パナマ,Panama,7.49,-80.4,,America/Panama
パプアニューギニア,Papua New Guinea,-6,144.3,,Pacific/Port_Moresby
パラグアイ,Paraguay,-20.4,-60,,America/Asuncion
ペルー,Peru,-9.1,-75.4,,America/Lima
フィリピン,Philippines,15.4,121.1,,Asia/Manila
ポーランド,Poland,52.1,20,,MET
ポルトガル,Portugal,40.3,-8.3,,Europe/Lisbon
プエルトリコ,Puerto Rico,17.3,-66.3,,America/Puerto_Rico
カタール,Qatar,25.3,51.1,,Asia/Qatar
コンゴ共和国,Rep.of Congo,-2.4,14.1,,GMT+03:00
セイシェル,Rep.of Seychelles,-4.3,56,,Australia/Victoria
レユニオン,Reunion,-21.3,55,,Indian/Reunion
ルーマニア,Romania,46.3,24.49,,Europe/Bucharest
ロシア連邦,Russian Federation,60,80.1,,W-SU
ルワンダ,Rwanda,-1.3,29.49,,Africa/Kigali
セントクリストファー・ネイビス,Saint Christopher & Nevis,17,62.5,,
セントルシア,Saint Lucia,14.19,-60,,
セント・ビンセント,Saint Vincent,13.2,-61.3,,
サンマリノ,San Marino,43.55,12.28,,Europe/San_Marino
サントメプリンシペ,Sao Tome & Principe,0.4,3.4,,Africa/Sao_Tome
サウジアラビア,Saudi Arabia,23.19,45.19,,Asia/Riyadh
セネガル,Senegal,16,-14.4,,Africa/Dakar
セィシェル,Seychelles,-7.4,53.4,,Australia/Victoria
シエラレオネ,Sierra Leone,7.1,-12,,Africa/Freetown
シンガポール,Singapore,1.17,103.51,,Asia/Singapore
スロバキア,Slovakia,49,19.3,,Europe/Bratislava
スロベニア,Slovenia,46.1,14.3,,MET
ソロモン諸島,Solomon Islands,-11,163.1,,SST
ソマリア,Somalia,8.49,47.19,,Africa/Mogadishu
南アフリカ,South Africa,-27.3,24.4,,Africa/Johannesburg
スペイン,Spain,41.19,-3.1,,Europe/Madrid
スリランカ,Sri Lanka,7.19,80.49,,Asia/Colombo
スーダン,Sudan,14.3,30.1,,EET
スリナム,Suriname,3.49,-55.4,,America/Paramaribo
スワジランド,Swaziland,-26.4,32,,Africa/Mbabane
スウェーデン,Sweden,61.19,16.19,,Europe/Stockholm
スイス,Swiss,46.49,8.1,,Europe/Zurich
シリア,Syria,34.3,38.3,,Asia/Damascus
タジキスタン,Tadzhikistan,38.1,70.1,,Asia/Dushanbe
台湾,Taiwan,23.49,122,,Asia/Taipei
タンザニア,Tanzania,-7,37,,Africa/Dar_es_Salaam
タイ,Thailand,15.1,101.4,,Asia/Bangkok
トーゴ,Togo,8.49,1,,Africa/Lome
トンガ,Tonga,-18.3,-176,,Pacific/Tongatapu
トリニダード・トバゴ,Trinidad & Tobago,11.1,-60,,America/Port_of_Spain
チュニジア,Tunisia,35.5,10.13,,Africa/Tunis
トルコ,Turkey,39.3,38.3,,Europe/Istanbul
トルクメニスタン,Turkmenistan,39.49,57.49,,Asia/Ashkhabad
ツバル,Tuvalu,-7,178.3,,Pacific/Funafuti
ウガンダ,Uganda,3.1,32,,Africa/Kampala
ウクライナ,Ukraine,49.19,32,,Europe/Kiev
アラブ首長国連邦,United Arab Emirates,23.4,53.4,,GMT+04:00
イギリス,United Kingdom,55.1,-2.3,,GMT
ウルグアイ,Uruguay,-31.4,-55,,America/Montevideo
アメリカ,USA,42,-104.1,,CST
ウズベキスタン,Uzbekistan,42,62,,Asia/Tashkent
バヌアツ,Vanuatu,-19.3,170,,GMT+11:00
バチカン市国,Vatican,41.49,12.19,,Europe/Vatican
ベネズエラ,Venezuela,8.3,-66.4,,America/Caracas
ベトナム,Vietnam,14.19,108.4,,GMT+07:00
バージン諸島[イギリス領],VirginIslandsUK,18.35,-64.15,,
バージン諸島[アメリカ領],VirginIslandsUS,18.1,-64.45,,
西サハラ,Western Sahara,25,-15,,UTC
西サモア,Western Samoa,-14,-178,,Pacific/Apia
イエメン,Yemen,16.3,48.19,,GMT+03:00
ユーゴスラビア連邦,Yugoslavia,44,20.4,,GMT-01:00
ザンビア,Zambia,-14,26.49,,Africa/Lusaka
ジンバブエ,Zimbabwe,-18.4,29.1,,Africa/Harare
カブール,Kabul,34.29002,69.11002,アフガニスタン,Asia/Kabul
カンダハール,Qandahar,31.35,65.45,アフガニスタン,Asia/Kabul
ヘラート,Herat,34.2,62.103,アフガニスタン,Asia/Kabul
コンドゥーズ,Qonduz,36.45,68.51,アフガニスタン,Asia/Kabul
バグラーン,Baghlan,36.11,68.433,アフガニスタン,Asia/Kabul
ティラナ,Tirane,41.2,19.49001,アルバニア,Europe/Tirane
シュコダル,Shkoder,42.03,19.14002,アルバニア,MET
ブロラ,Vlore,40.29,19.29,アルバニア,MET
コルチャ,Korce,40.38,20.45299,アルバニア,MET
オラン,Oran,35.433,-0.36598,アルジェリア,GMT+01:00
コンスタンティーヌ,Constantine,36.21,6.38002,アルジェリア,GMT+01:00
アンナーバ,Annaba,36.55001,7.46,アルジェリア,GMT+01:00
ブリーダ,Blida,36.27302,2.49,アルジェリア,GMT+01:00
スキクダ,Skikda,36.52,6.53298,アルジェリア,GMT+01:00
ビスクラ,Biskra,34.5,5.403,アルジェリア,GMT+01:00
トレムセン,Tlemcen,34.523,-1.20002,アルジェリア,GMT+01:00
ブジャーヤ,Bejaia,36.463,5.013,アルジェリア,GMT+01:00
ベシャール,Bechar,31.36,-2.14301,アルジェリア,GMT+01:00
アルジェ,Alger,36.47298,2.59002,アルジェリア,GMT+01:00
パゴパゴ,Pago Pago,-14.16001,-170.42,アメリカ領サモア,Pacific/Pago_Pago
アンドララベリャ,Andorra La vella,42.3,1.3,アンドラ,MET
ルアンダ,Luanda,-8.493,13.15,アンゴラ,Africa/Luanda
フアンボ,Huambo,-12.45,15.45,アンゴラ,Africa/Luanda
ロビト,Lobito,-12.21,13.35002,アンゴラ,Africa/Luanda
あすか観測拠点,Asuka,-71.3,23,南極,
ケーシー基地,Casey,-67.1,112,南極,Antarctica/Casey
デーヴィス基地,Davis,-68,79.3,南極,Antarctica/Davis
エイツ基地,Eights,-74,-75,南極,
ヘネラルベルグラーノ基地,General Belgrano,-78,-38,南極,
ハリーベイ基地,Hally Bay,-76,-30,南極,
モーソン基地,Mawson,-67.49,62,南極,Antarctica/Mawson
ミールヌイ基地,Mirny,-67.1,93,南極,
パーマー基地,Palmer,-65,-63,南極,Antarctica/Palmer
サナエ基地,Sanae,-71,-3,南極,
スコット基地,Scott,-78,168,南極,
昭和基地,Showa,-69,40,南極,Antarctica/Syowa
南極点,South Pole,-90,0,南極,Antarctica/South_Pole
ボストーク基地,Vostok,-78.3,94,南極,Antarctica/Vostok
セントジョンズ,St.johns,17.07,-61.50298,アンティグア・バーブーダ,America/St_Johns
ブエノスアイレス,Buenos Aires,-34.39,-58.283,アルゼンチン,America/Buenos_Aires
コルトバ,Cordoba,-31.25,-64.11,アルゼンチン,America/Cordoba
ロサリオ,Rosario,-33.00302,-60.41301,アルゼンチン,America/Rosario
ラプラタ,La Plata,-34.52001,-57.553,アルゼンチン,AGT
サンファン,San Juan,-31.32298,-68.313,アルゼンチン,America/Argentina/San_Juan
サルタ,Salta,-24.45302,-65.253,アルゼンチン,AGT
バイアブランカ,Bahia Blanca,-38.433,-62.15302,アルゼンチン,AGT
レシステンシア,Resistencia,-27.253,-59,アルゼンチン,AGT
コリエンテス,Corrientes,-27.28001,-58.48,アルゼンチン,AGT
パラナ,Parana,-31.45299,-60.30598,アルゼンチン,AGT
ポサダス,Posadas,-27.24299,-55.54,アルゼンチン,AGT
メンドサ,Mendoza,-32.493,-68.51,アルゼンチン,America/Mendoza
マールデルプラタ,Mar Del plata,-38,-57.3,アルゼンチン,America/Mendoza
ウスワイア,Ushuaia,-55.1,-68.3,アルゼンチン,America/Argentina/Ushuaia
ネウケン,Neuquen,-40.46152,-64.34012,アルゼンチン,America/Argentina/Ushuaia
コモドロ・リバダビア,Comodoro Rivadavia,-45.47355,-67.35398,アルゼンチン,America/Argentina/Ushuaia
エレバン,Erevan,40.103,44.31,アルメニア,NET
キーロバカン,Kirovakan,40.48302,44.29298,アルメニア,NET
シドニー,Sydney,-33.526,151.1,オーストラリア,Australia/Sydney
メルボルン,Melbourne,-37.466,144.58,オーストラリア,Australia/Melbourne
ブリスベーン,Brisbane,-27.3,153.013,オーストラリア,Australia/Brisbane
パース,Perth,-31.58,115.503,オーストラリア,Australia/Perth
アデレード,Adelaide,-34.556,138.36,オーストラリア,Australia/Adelaide
ニューカスル,Newcastle,-32.5234,151.4549,オーストラリア,Australia/Adelaide
キャンベラ,Canberra,-35.166,149.073,オーストラリア,Australia/Canberra
ウランゴング,Wollongong,-34.2349,150.5302,オーストラリア,Australia/Canberra
ダービー,Derby,-17.07,123.46,オーストラリア,Australia/Canberra
ゴールドコースト,Gold Coast,-27.593,153.203,オーストラリア,Australia/Canberra
ホバート,Hobart,-42.533,147.173,オーストラリア,Australia/Hobart
ジロング,Geelong,-38.073,144.21,オーストラリア,Australia/Darwin
タウンズビル,Townsville,-19.183,146.46,オーストラリア,Australia/Darwin
ダーウィン,Darwin,-12.28,130.5,オーストラリア,Australia/Darwin
アルバニー,Albany,-35,118,オーストラリア,Australia/Darwin
アリススプリングス,Alice Springs,-23.45,133.5,オーストラリア,Australia/Darwin
エアーズロック,Ayers Rock,-25.21,131.02,オーストラリア,Australia/Darwin
オルグ,The Olgas,-25.18,130.14,オーストラリア,Australia/Darwin
バララット,Ballarat,-37.4,143.4,オーストラリア,Australia/Darwin
バーダム,Birdum,-16,133,オーストラリア,Australia/Darwin
ブルーム,Broome,-17.4,122.3,オーストラリア,Australia/Darwin
ケアンズ,Cairns,-16.541,145.4212,オーストラリア,Australia/Darwin
クックタウン,CookTown,-15.2725,145.0958,オーストラリア,Australia/Darwin
カーナーヴォン,Carnavon,-25,114,オーストラリア,Australia/Darwin
クック,Cook,-30.3,130,オーストラリア,Australia/Darwin
ダンピア,Danpia,-21.3,116.1,オーストラリア,Australia/Darwin
エスペランス,Esperance,-33.3,122,オーストラリア,Australia/Darwin
ユークラ,Eucla,-31.3,129,オーストラリア,Australia/Darwin
エア,Eyre,-32.1,126,オーストラリア,Australia/Darwin
フォレスト,Forrest,-30.4,128,オーストラリア,Australia/Darwin
ジェラルトン,Geraldton,-29.1,115,オーストラリア,Australia/Darwin
カルグーリ,Kalgoorlie,-30.4,121.3,オーストラリア,Australia/Darwin
レオノーラ,Leonore,-29,121,オーストラリア,Australia/Darwin
マウントアイザ,Mount Isa,-20.3,139.3,オーストラリア,Australia/Darwin
マウントニューマン,Mount Newman,-23.1,120,オーストラリア,Australia/Darwin
ノーマントン,Normanton,-18,141,オーストラリア,Australia/Darwin
ピノング,Penong,-31.4,132.3,オーストラリア,Australia/Darwin
ポートオーガスタ,Port Augusta,-32.3101,137.5127,オーストラリア,Australia/Darwin
ポートヘッドランド,Port Hedland,-20.3,119,オーストラリア,Australia/Darwin
ポートピリー,Port Pirle,-33.1234,137.5947,オーストラリア,Australia/Darwin
サマセット,Someset,-10.4747,142.2741,オーストラリア,Australia/Darwin
ヤンピ　サウンド,Yampi Sound,-16.27,123.5,オーストラリア,Australia/Darwin
グラーツ,Graz,47.043,15.24,オーストリア,MET
リンツ,Linz,48.17301,14.163,オーストリア,MET
ザルツブルク,Salzburg,47.48302,13.03,オーストリア,MET
インスブルック,Innsbruck,47.15299,11.24302,オーストリア,MET
クラーゲンフルト,Klagenfurt,46.38,14.18299,オーストリア,MET
ウィーン,Wien,48.12,16.22001,オーストリア,MET
バクー,Baku,40.223,49.52,アゼルバイジャン,Asia/Baku
スムガイト,Sumgait,40.35449,49.37451,アゼルバイジャン,Asia/Baku
キーロババード,Kirovabad,40.39302,46.21302,アゼルバイジャン,Asia/Baku
ミンゲチャウル,Mingechaur,40.45,47.03302,アゼルバイジャン,Asia/Baku
ナッソー,Nassau,25.02298,-77.21299,バハマ,America/Nassau
マナーマ,Manama,26,50.32,バーレーン,GMT+03:00
チッタゴン,Chittagong,22.2,91.48,バングラデシュ,Asia/Dhaka
クルナ,Khulna,22.48302,89.32301,バングラデシュ,Asia/Dhaka
ナーラーヤンガンジ,Narayanganj,23.36302,90.283,バングラデシュ,Asia/Dhaka
ミーメンシング,Mymensingh,24.44298,90.23002,バングラデシュ,Asia/Dhaka
クミッラ,Comilla,23.26301,91.11301,バングラデシュ,Asia/Dhaka
バリサール,Barisal,22.41,90.22,バングラデシュ,Asia/Dhaka
ダッカ,Dhaka,23.44002,90.23002,バングラデシュ,Asia/Dhaka
サイドプル,Saidpur,25.48428,88.28502,バングラデシュ,Asia/Dhaka
ランプル,Rangpur,25.47236,88.59546,バングラデシュ,Asia/Dhaka
シルヘット,Sylhet,24.52062,92.00295,バングラデシュ,Asia/Dhaka
パブナ,Pabna,24.0318,89.58192,バングラデシュ,Asia/Dhaka
ラジシャヒ,Rajshahi,24.25552,88.56056,バングラデシュ,Asia/Dhaka
ブリッジダウン,Bridgetown,13.06,-59.37001,バルバドス,GMT-04:00
ミンスク,Minsk,53.51302,27.3,ベラルーシ,Europe/Minsk
ゴメリ,Gomer,52.253,30.59449,ベラルーシ,Europe/Minsk
ヴィテブスク,Vitebsk,55.11449,30.11,ベラルーシ,Europe/Minsk
モギリョフ,Mogilyov,53.53449,30.20002,ベラルーシ,Europe/Minsk
ボリソフ,Borisov,54.133,28.2915,ベラルーシ,Europe/Minsk
グロドノ,Grodno,53.40451,23.50298,ベラルーシ,Europe/Minsk
バラノビチ,Baranovichi,53.08,26.01451,ベラルーシ,Europe/Minsk
ボブルイスク,Bobruysk,53.07451,29.10001,ベラルーシ,Europe/Minsk
ブレスト,Brest,52.07,23.42302,ベラルーシ,Europe/Minsk
オルシャ,Orsha,54.29002,30.23002,ベラルーシ,Europe/Minsk
ピンスク,Pinsk,52.07001,26.03,ベラルーシ,Europe/Minsk
モズイリ,Mozyr,52.02298,29.12,ベラルーシ,Europe/Minsk
シャールロア,Charleroi,50.25001,4.26298,ベルギー,MET
リエージュ,Liege,50.373,5.35298,ベルギー,MET
ブリュージュ,Bruges,51.12302,3.13,ベルギー,MET
ナミュール,Namur,50.28001,4.51,ベルギー,MET
ブリュッセル,Bruxelles,50.5,4.21,ベルギー,MET
アントワープ,Antwerp,51.13001,4.253,ベルギー,MET
ベルモパン,Belmopan,17.12302,-88.48598,ベリーズ,GMT-06:00
コトヌー,Cotonou,6.23298,2.29301,ベナン,GMT+01:00
ポルトノボ,Portonovo,6.31,2.44298,ベナン,GMT+01:00
ティンプー,Thimphu,27.32,89.403,ブータン,Asia/Thimphu
ターシガン,Tashigang,27.19473,91.3157,ブータン,Asia/Thimphu
トンサ,Tongsa,27.42133,90.53514,ブータン,Asia/Thimphu
デワンギリ,Dewangiri,27.0121,91.4,ブータン,Asia/Thimphu
ラパス,La Paz,-16.29002,-68.10001,ボリビア,America/La_Paz
サンタクルス,Santa Cruz,-17.45302,-63.12598,ボリビア,America/La_Paz
コチャバンバ,Cochabamba,-17.24299,-66.09302,ボリビア,America/La_Paz
オルロ,Oruro,-17.57299,-67.08298,ボリビア,America/La_Paz
スクレ,Sucre,-19.043,-65.15302,ボリビア,America/La_Paz
ポトシ,Potosi,-19.33302,-65.45,ボリビア,America/La_Paz
バニャ・ルカ,Banja Luka,44.46001,17.103,ボスニア・ヘルツェゴビナ,MET
モスタール,Mostar,43.2,17.50002,ボスニア・ヘルツェゴビナ,MET
サラエボ,Sarajebo,43.52001,18.25451,ボスニア・ヘルツェゴビナ,MET
ハボローネ,Gaborone,-24.44002,25.54302,ボツワナ,Africa/Gaborone
パラピエ,Palapye,-22.3421,27.1039,ボツワナ,Africa/Gaborone
フランシスタウン,Francistown,-21.23269,27.28383,ボツワナ,Africa/Gaborone
カンジ,Ghanzi,-21.3604,21.46325,ボツワナ,Africa/Gaborone
ツァウ,Tsau,-20.06518,22.12068,ボツワナ,Africa/Gaborone
マウン,Maun,-19.50373,23.41517,ボツワナ,Africa/Gaborone
サンパウロ,Sao Paulo,-23.32298,-46.38002,ブラジル,America/Sao_Paulo
ベロオリゾンテ,Belo Horizonte,-19.553,-43.54299,ブラジル,America/Sao_Paulo
フォルタレザ,Fortaleza,-3.45598,-38.33598,ブラジル,America/Fortaleza
クリティバ,Curitiba,-25.24,-49.21,ブラジル,America/Fortaleza
レシフェ,Recife,-8.06302,-34.53298,ブラジル,America/Recife
ポルトアレグレ,Porto Alegre,-30.03598,-51.08301,ブラジル,America/Recife
ベレン,Belem,-1.26002,-48.27,ブラジル,America/Belem
マナウス,Manaus,-3.05298,-60.00302,ブラジル,America/Manaus
ゴイアニア,Goiania,-16.403,-49.17002,ブラジル,America/Manaus
カンピナス,Campinas,-22.54,-47.043,ブラジル,America/Manaus
サン・ルイス,Sao Luis,-2.33302,-44.163,ブラジル,America/Manaus
ナタール,Natal,-5.47298,-35.133,ブラジル,America/Manaus
マセイオ,Maceio,-9.38301,-35.43001,ブラジル,America/Maceio
テレジナ,Teresina,-5.06299,-42.47002,ブラジル,America/Maceio
サントス,Santos,-23.57302,-46.18,ブラジル,America/Maceio
ジョアン・ペソア,Joao Pessoa,-7.09,-34.523,ブラジル,America/Maceio
カンポグランデ,Campo Grande,-20.27,-54.37001,ブラジル,America/Campo_Grande
カンポス,Campos,-21.45,-41.18598,ブラジル,America/Campo_Grande
アラカジュ,Aracaju,-10.54302,-37.05301,ブラジル,America/Campo_Grande
ロンドリナ,Londrina,-23.18,-51.103,ブラジル,America/Campo_Grande
ソロカバ,Sorocaba,-23.283,-47.29298,ブラジル,America/Campo_Grande
ウベルランディア,Uberlandia,-18.56298,-48.15598,ブラジル,America/Campo_Grande
カンピナグランデ,Campina Grande,-7.15,-35.51598,ブラジル,America/Campo_Grande
ジョインビル,Joinville,-26.18,-48.53298,ブラジル,America/Campo_Grande
ペロタス,Pelotas,-31.46001,-52.21299,ブラジル,America/Campo_Grande
ウベラバ,Uberaba,-19.45598,-47.553,ブラジル,America/Campo_Grande
バウル,Bauru,-22.19001,-49.06302,ブラジル,America/Campo_Grande
ピラシカバ,Piracicaba,-22.44002,-47.37599,ブラジル,America/Campo_Grande
ボルタ・レドンダ,Volta Redonda,-22.32298,-44.08002,ブラジル,America/Campo_Grande
ゴベルナドル・バラダレス,Governador Valadares,-18.51,-41.553,ブラジル,America/Campo_Grande
ポンタ・グロッサ,Ponta Grossa,-25.05298,-50.09,ブラジル,America/Campo_Grande
クイアバ,Cuiaba,-15.33598,-56.06299,ブラジル,America/Cuiaba
アナポリス,Anapolis,-16.18299,-48.57,ブラジル,America/Cuiaba
マリンガ,Maringa,-23.25001,-51.58001,ブラジル,America/Cuiaba
フロリアノポリス,Florianopolis,-27.34599,-48.32301,ブラジル,America/Cuiaba
モンテス・クラロス,Montes Claros,-16.433,-43.51302,ブラジル,America/Cuiaba
サンタ・マリア,Santa Maria,-29.40599,-53.48,ブラジル,America/Cuiaba
サルヴァドル,Salvador,-12.57302,-38.283,ブラジル,America/Cuiaba
リオデジャネイロ,Rio De janeiro,-22.53,-43.17,ブラジル,America/Cuiaba
ブラジリア,Brasilia,-15.47298,-47.53002,ブラジル,America/Cuiaba
バンダル・スリ・ブガワン,Bandar Seri Begawan,4.55,114.56,ブルネイ,Asia/Brunei
セリア,Seria,4.34293,114.1904,ブルネイ,Asia/Brunei
プロブジフ,Plovdiv,42.1,24.45302,ブルガリア,EET
